Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Gender;Observation_Zone;Mode;Volume
202002;08:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;79
202002;08:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;87
202002;08:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;NA;ZoneGlobale;All_modes;94
202002;08:30:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;30
202002;08:30:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;08:30:00;JO;Kinshasa;Kongo-Central;1h;Outside_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;25
202002;08:30:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;48
202002;08:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;24
202002;08:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;49
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;25
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;24
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;46
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;50
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;24
202002;08:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;24
202002;08:30:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Origin_Zone_Worker;F;ZoneGlobale;All_modes;24
202002;08:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;135
202002;08:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;116
202002;08:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;NA;ZoneGlobale;All_modes;25
202002;08:30:00;JO;Lualaba;Haut-Katanga;3h;Outside_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;26
202002;08:30:00;WE;Haut-Katanga;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;M;ZoneGlobale;All_modes;21
202002;08:30:00;WE;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;21
202002;08:30:00;WE;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;M;ZoneGlobale;All_modes;198
202002;08:30:00;WE;Kinshasa;Kongo-Central;1h;Outside_Resident;Destination_Zone_Worker;NA;ZoneGlobale;All_modes;24
202002;08:30:00;WE;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;M;ZoneGlobale;All_modes;52
202002;08:30:00;WE;Kinshasa;Kongo-Central;1h;Study_Zone_Resident;Study_Zone_Worker;NA;ZoneGlobale;All_modes;26
