Period;Day_type;Zone;Home_Zone;Activity_Zone;PresenceType;Gender;Volume
202002;JO;Kinshasa;Kinshasa;Kinshasa;Jour;NA;106727
202002;JO;Kinshasa;Kinshasa;Kinshasa;Nuit;F;109020
202002;JO;Kinshasa;Kinshasa;Kinshasa;Nuit;M;270864
202002;JO;Kinshasa;Kinshasa;Kinshasa;Nuit;NA;94566
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Jour;F;666
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Jour;M;1885
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Jour;NA;335
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Nuit;F;826
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Nuit;M;2471
202002;JO;Kinshasa;Kinshasa;Kongo-Central;Nuit;NA;479
202002;JO;Kinshasa;Kongo-Central;Hors_Zone;Jour;F;68
202002;JO;Kinshasa;Kongo-Central;Hors_Zone;Jour;M;542
202002;JO;Kinshasa;Kongo-Central;Hors_Zone;Jour;NA;31
202002;JO;Kinshasa;Kongo-Central;Hors_Zone;Nuit;M;235
202002;JO;Kinshasa;Kongo-Central;Hors_Zone;Nuit;NA;21
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Jour;F;671
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Jour;M;2305
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Jour;NA;610
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Nuit;F;531
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Nuit;M;1806
202002;JO;Kinshasa;Kongo-Central;Kinshasa;Nuit;NA;406
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Jour;F;11203
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Jour;M;31648
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Jour;NA;8664
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Nuit;F;9107
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Nuit;M;27701
202002;JO;Kinshasa;Kongo-Central;Kongo-Central;Nuit;NA;7161
202002;JO;Kinshasa;Lualaba;Lualaba;Jour;M;61
202002;JO;Kinshasa;Lualaba;Lualaba;Nuit;M;59
202002;JO;Kinshasa;Maniema;Kinshasa;Jour;NA;39
202002;JO;Kinshasa;Maniema;Kinshasa;Nuit;NA;39
202002;JO;Kinshasa;Maniema;Maniema;Jour;M;31
202002;JO;Kinshasa;Maniema;Maniema;Nuit;M;39
202002;JO;Kinshasa;Nord-Kivu;Kinshasa;Jour;M;60
202002;JO;Kinshasa;Nord-Kivu;Kinshasa;Nuit;M;60
202002;JO;Kinshasa;Sankuru;Sankuru;Jour;NA;115
202002;JO;Kinshasa;Sankuru;Sankuru;Nuit;NA;115
202002;JO;Kinshasa;Sud-Kivu;Sud-Kivu;Jour;M;116
202002;JO;Kinshasa;Sud-Kivu;Sud-Kivu;Nuit;M;154
202002;JO;Kinshasa;Tshopo;Tshopo;Nuit;M;27
202002;JO;Kongo-Central;Haut-Katanga;Haut-Katanga;Jour;F;28
202002;JO;Kongo-Central;Haut-Katanga;Haut-Katanga;Jour;M;38
202002;JO;Kongo-Central;Haut-Katanga;Haut-Katanga;Nuit;F;28
202002;JO;Kongo-Central;Haut-Katanga;Haut-Katanga;Nuit;NA;75
202002;JO;Kongo-Central;Haut-Katanga;Kongo-Central;Jour;M;38
202002;JO;Kongo-Central;Haut-Katanga;Kongo-Central;Nuit;M;38
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Jour;F;67964
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Jour;M;150293
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Jour;NA;90000
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Nuit;F;29474
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Nuit;M;67063
202002;JO;Kongo-Central;Hors_Zone;Hors_Zone;Nuit;NA;38169
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Jour;F;869
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Jour;M;2143
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Jour;NA;603
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Nuit;F;443
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Nuit;M;1257
202002;JO;Kongo-Central;Hors_Zone;Kinshasa;Nuit;NA;270
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Jour;F;66511
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Jour;M;150701
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Jour;NA;67611
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Nuit;F;20571
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Nuit;M;47889
202002;JO;Kongo-Central;Hors_Zone;Kongo-Central;Nuit;NA;22159
202002;JO;Kongo-Central;Hors_Zone;Kwilu;Jour;NA;38
202002;JO;Kongo-Central;Kasai-Oriental;Kasai-Oriental;Jour;NA;38
202002;JO;Kongo-Central;Kinshasa;Hors_Zone;Jour;M;271
202002;JO;Kongo-Central;Kinshasa;Hors_Zone;Nuit;F;44
202002;JO;Kongo-Central;Kinshasa;Hors_Zone;Nuit;M;211
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Jour;F;8720
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Jour;M;22920
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Jour;NA;5472
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Nuit;F;6551
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Nuit;M;18025
202002;JO;Kongo-Central;Kinshasa;Kinshasa;Nuit;NA;4171
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Jour;F;2289
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Jour;M;6491
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Jour;NA;1706
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Nuit;F;1647
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Nuit;M;4711
202002;JO;Kongo-Central;Kinshasa;Kongo-Central;Nuit;NA;1188
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Jour;F;5968
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Jour;M;13295
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Jour;NA;6690
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Nuit;F;7060
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Nuit;M;15801
202002;JO;Kongo-Central;Kongo-Central;Hors_Zone;Nuit;NA;7666
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Jour;F;361
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Jour;M;1294
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Jour;NA;246
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Nuit;F;333
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Nuit;M;1369
202002;JO;Kongo-Central;Kongo-Central;Kinshasa;Nuit;NA;301
202002;JO;Kongo-Central;Kongo-Central;Kongo-Central;Jour;F;629168
202002;JO;Kongo-Central;Kongo-Central;Kongo-Central;Jour;M;1650452
202002;JO;Kongo-Central;Kongo-Central;Kongo-Central;Jour;NA;552562
