Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Area/Nationality;Type;Observation_Zone;Mode;Volume
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Destination_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Kinshasa;Kongo-Central;1h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;50
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Outside_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Destination_Zone_Resident;Destination_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;27
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Destination_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;28
202002;06:30:00;JO;Kinshasa;Kongo-Central;3h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;49
202002;06:30:00;JO;Kongo-Central;Kinshasa;1h;Outside_Resident;Outside_Worker;Congo Republic;Etranger;ZoneGlobale;All_modes;67
202002;06:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;116
202002;06:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;51
202002;06:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Bas congo (Kongo-Central);Local;ZoneGlobale;All_modes;169
202002;06:30:00;JO;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;Kinshasa;Local;ZoneGlobale;All_modes;25
202002;06:30:00;JO;Lualaba;Haut-Katanga;1h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;33
202002;06:30:00;JO;Lualaba;Haut-Katanga;1h;Destination_Zone_Resident;Destination_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;24
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Outside_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;26
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Outside_Resident;Outside_Worker;Katanga;Local;ZoneGlobale;All_modes;30
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Destination_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;21
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Outside_Worker;China;Etranger;ZoneGlobale;All_modes;44
202002;06:30:00;JO;Lualaba;Haut-Katanga;3h;Origin_Zone_Resident;Origin_Zone_Worker;China;Etranger;ZoneGlobale;All_modes;123
