Period;Hour;Day_type;Origin;Destination;Immobility;Home_Category;Activity_Category;Age;Observation_Zone;Mode;Volume
202002;18:00:00;WE;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;29
202002;18:00:00;WE;Kongo-Central;Kinshasa;3h;Origin_Zone_Resident;Origin_Zone_Worker;<18;ZoneGlobale;All_modes;70
202002;18:30:00;JO;Haut-Katanga;Lualaba;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;46
202002;18:30:00;JO;Hors_Zone;Haut-Katanga;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;167
202002;18:30:00;JO;Hors_Zone;Kasai-Oriental;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;21
202002;18:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;45
202002;18:30:00;JO;Hors_Zone;Kinshasa;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;158
202002;18:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;30
202002;18:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;24
202002;18:30:00;JO;Hors_Zone;Kongo-Central;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;149
202002;18:30:00;JO;Hors_Zone;Kwilu;1h;Outside_Resident;Outside_Worker;25-34;ZoneGlobale;All_modes;24
202002;18:30:00;JO;Hors_Zone;Lualaba;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;25
202002;18:30:00;JO;Hors_Zone;Nord-Ubangi;1h;Outside_Resident;Outside_Worker;35-44;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Hors_Zone;Sud-Kivu;1h;Outside_Resident;Outside_Worker;<18;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Kinshasa;Kongo-Central;1h;Destination_Zone_Resident;Destination_Zone_Worker;<18;ZoneGlobale;All_modes;28
202002;18:30:00;JO;Kongo-Central;Kinshasa;1h;Destination_Zone_Resident;Destination_Zone_Worker;35-44;ZoneGlobale;All_modes;27
202002;18:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;25-34;ZoneGlobale;All_modes;34
202002;18:30:00;JO;Kongo-Central;Kinshasa;1h;Origin_Zone_Resident;Origin_Zone_Worker;55-64;ZoneGlobale;All_modes;56
