Origine;NomOrigine;Destination;NomDestination;Distance
17;Kwilu;21;Haut-Uele;1424511,404
17;Kwilu;22;Sud-Ubangi;874077,7467
17;Kwilu;23;Kasai-Central;453869,02
17;Kwilu;24;Equateur;554960,3045
17;Kwilu;25;Haut-Lomami;841027,9045
17;Kwilu;26;Nord-Kivu;1209070,38
18;Mai-Ndombe;1;Tanganyika;1155577,27
18;Mai-Ndombe;2;Mongala;625087,5953
18;Mai-Ndombe;3;Sankuru;570896,2806
18;Mai-Ndombe;4;Haut-Katanga;1339358,586
18;Mai-Ndombe;5;Lualaba;988215,0902
18;Mai-Ndombe;6;Kinshasa;349187,6375
18;Mai-Ndombe;7;Nord-Ubangi;778442,5309
18;Mai-Ndombe;8;Tshuapa;423743,9765
18;Mai-Ndombe;9;Sud-Kivu;1083188,94
18;Mai-Ndombe;10;Tshopo;821836,1315
18;Mai-Ndombe;11;Kongo-Central;549119,6406
18;Mai-Ndombe;12;Ituri;1315786,484
18;Mai-Ndombe;13;Kasai;379646,4416
18;Mai-Ndombe;14;Bas-Uele;1014845,499
18;Mai-Ndombe;15;Lomami;785880,9931
18;Mai-Ndombe;16;Kasai-Oriental;673020,7203
18;Mai-Ndombe;17;Kwilu;231500,1472
18;Mai-Ndombe;19;Maniema;878693,5169
18;Mai-Ndombe;20;Kwango;420278,2575
18;Mai-Ndombe;21;Haut-Uele;1303591,601
18;Mai-Ndombe;22;Sud-Ubangi;646083,4638
18;Mai-Ndombe;23;Kasai-Central;588006,5919
18;Mai-Ndombe;24;Equateur;326014,8101
18;Mai-Ndombe;25;Haut-Lomami;979893,7635
18;Mai-Ndombe;26;Nord-Kivu;1155605,806
19;Maniema;1;Tanganyika;432954,4239
19;Maniema;2;Mongala;791714,5855
19;Maniema;3;Sankuru;316284,2047
19;Maniema;4;Haut-Katanga;829316,2883
19;Maniema;5;Lualaba;797545,3426
19;Maniema;6;Kinshasa;1177219,525
19;Maniema;7;Nord-Ubangi;972672,5587
19;Maniema;8;Tshuapa;583134,7399
19;Maniema;9;Sud-Kivu;204559,2299
19;Maniema;10;Tshopo;416929,1087
19;Maniema;11;Kongo-Central;1366204,425
19;Maniema;12;Ituri;634902,1909
19;Maniema;13;Kasai;625536,4973
19;Maniema;14;Bas-Uele;755660,4866
19;Maniema;15;Lomami;396819,7714
19;Maniema;16;Kasai-Oriental;467766,7201
19;Maniema;17;Kwilu;882891,8117
19;Maniema;18;Mai-Ndombe;878693,5169
19;Maniema;20;Kwango;1018904,735
19;Maniema;21;Haut-Uele;750951,0106
19;Maniema;22;Sud-Ubangi;1041613,086
19;Maniema;23;Kasai-Central;557812,7013
19;Maniema;24;Equateur;911683,2547
19;Maniema;25;Haut-Lomami;580213,4559
19;Maniema;26;Nord-Kivu;373629,6039
20;Kwango;1;Tanganyika;1143396,942
20;Kwango;2;Mongala;1026778,561
20;Kwango;3;Sankuru;715277,4597
20;Kwango;4;Haut-Katanga;1184233,453
20;Kwango;5;Lualaba;763557,0016
20;Kwango;6;Kinshasa;309160,658
20;Kwango;7;Nord-Ubangi;1193486,142
20;Kwango;8;Tshuapa;770586,1685
20;Kwango;9;Sud-Kivu;1206276,035
20;Kwango;10;Tshopo;1118078,907
20;Kwango;11;Kongo-Central;413160,9565
20;Kwango;12;Ituri;1578069,982
20;Kwango;13;Kasai;394563,9078
20;Kwango;14;Bas-Uele;1375552,587
20;Kwango;15;Lomami;754208,7003
20;Kwango;16;Kasai-Oriental;626357,2974
20;Kwango;17;Kwilu;202534,4797
20;Kwango;18;Mai-Ndombe;420278,2575
20;Kwango;19;Maniema;1018904,735
20;Kwango;21;Haut-Uele;1609605,751
20;Kwango;22;Sud-Ubangi;1066222,733
20;Kwango;23;Kasai-Central;512056,9012
20;Kwango;24;Equateur;746134,3375
20;Kwango;25;Haut-Lomami;858615,5425
20;Kwango;26;Nord-Kivu;1365573,927
21;Haut-Uele;1;Tanganyika;1097362,631
21;Haut-Uele;2;Mongala;799077,654
21;Haut-Uele;3;Sankuru;936961,327
21;Haut-Uele;4;Haut-Katanga;1527899,93
21;Haut-Uele;5;Lualaba;1548335,754
21;Haut-Uele;6;Kinshasa;1652422,778
21;Haut-Uele;7;Nord-Ubangi;837917,4341
21;Haut-Uele;8;Tshuapa;879953,6333
21;Haut-Uele;9;Sud-Kivu;726941,9987
21;Haut-Uele;10;Tshopo;492046,77
21;Haut-Uele;11;Kongo-Central;1852662,385
21;Haut-Uele;12;Ituri;202965,2235
21;Haut-Uele;13;Kasai;1238873,83
21;Haut-Uele;14;Bas-Uele;384291,6764
21;Haut-Uele;15;Lomami;1143512,583
21;Haut-Uele;16;Kasai-Oriental;1192044,049
21;Haut-Uele;17;Kwilu;1424511,404
21;Haut-Uele;18;Mai-Ndombe;1303591,601
21;Haut-Uele;19;Maniema;750951,0106
21;Haut-Uele;20;Kwango;1609605,751
21;Haut-Uele;22;Sud-Ubangi;1027029,774
21;Haut-Uele;23;Kasai-Central;1257203,695
21;Haut-Uele;24;Equateur;1129737,177
21;Haut-Uele;25;Haut-Lomami;1328065,08
21;Haut-Uele;26;Nord-Kivu;437322,2008
22;Sud-Ubangi;1;Tanganyika;1451952,765
22;Sud-Ubangi;2;Mongala;264043,3611
22;Sud-Ubangi;3;Sankuru;867122,7152
22;Sud-Ubangi;4;Haut-Katanga;1768066,524
22;Sud-Ubangi;5;Lualaba;1515876,971
22;Sud-Ubangi;6;Kinshasa;916567,4021
22;Sud-Ubangi;7;Nord-Ubangi;208810,7647
22;Sud-Ubangi;8;Tshuapa;494748,8497
22;Sud-Ubangi;9;Sud-Kivu;1211769,122
22;Sud-Ubangi;10;Tshopo;712207,0172
22;Sud-Ubangi;11;Kongo-Central;1083001,658
22;Sud-Ubangi;12;Ituri;1137666,804
22;Sud-Ubangi;13;Kasai;910202,8995
22;Sud-Ubangi;14;Bas-Uele;646129,2827
22;Sud-Ubangi;15;Lomami;1187355,742
22;Sud-Ubangi;16;Kasai-Oriental;1122009,004
22;Sud-Ubangi;17;Kwilu;874077,7467
22;Sud-Ubangi;18;Mai-Ndombe;646083,4638
22;Sud-Ubangi;19;Maniema;1041613,086
22;Sud-Ubangi;20;Kwango;1066222,733
22;Sud-Ubangi;21;Haut-Uele;1027029,774
22;Sud-Ubangi;23;Kasai-Central;1087598,791
22;Sud-Ubangi;24;Equateur;320092,6999
22;Sud-Ubangi;25;Haut-Lomami;1422692,132
22;Sud-Ubangi;26;Nord-Kivu;1118069,677
23;Kasai-Central;1;Tanganyika;633215,708
23;Kasai-Central;2;Mongala;926709,3939
23;Kasai-Central;3;Sankuru;327716,6019
23;Kasai-Central;4;Haut-Katanga;751719,7767
23;Kasai-Central;5;Lualaba;428532,1277
23;Kasai-Central;6;Kinshasa;755357,7788
23;Kasai-Central;7;Nord-Ubangi;1127311,035
23;Kasai-Central;8;Tshuapa;619719,8858
23;Kasai-Central;9;Sud-Kivu;721250,1926
23;Kasai-Central;10;Tshopo;800853,8433
23;Kasai-Central;11;Kongo-Central;911329,8429
23;Kasai-Central;12;Ituri;1176876,471
23;Kasai-Central;13;Kasai;208417,5314
23;Kasai-Central;14;Bas-Uele;1128775,631
23;Kasai-Central;15;Lomami;242338,5921
23;Kasai-Central;16;Kasai-Oriental;114322,4298
23;Kasai-Central;17;Kwilu;453869,02
23;Kasai-Central;18;Mai-Ndombe;588006,5919
23;Kasai-Central;19;Maniema;557812,7013
23;Kasai-Central;20;Kwango;512056,9012
